,name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,winRate,killsPerGame,deathsPerGame,assistsPerGame,hitRate,headshotRate,winRateAlt,kdRatioAlt
0,RggRt45#4697369,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,JohniceRex#9176033,0,0,0.0,0,1,0,110,0,7,0,7.0,0,0,0,700,0.0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,JNaCo#5244172,3,2,0.4,0,1,0,0,0,3,0,3.0,0,0,0,1150,0.0,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,gomezyayo_007#6596687,0,2,0.2,0,1,0,110,0,5,1,5.0,0,0,0,1000,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ahevepluto#3505304,186,1898,0.5696278511404562,13,37,7,2,5111,550,485,3.6666666666666665,150,488,39978,458269,180.3796363636364,45089,3332,0.9637305699481865,12.653333333333334,22.213333333333335,3.2533333333333334,0.11335358956730023,0.010756503803588459,4.828902407781883,2.854197415424578
9,RPDUNKduo#8122914,26,349,0.4440203562340967,7,12,4,0,996,44,40,2.933333333333333,15,138,4844,72765,253.67727272727268,5840,786,0.8666666666666667,23.266666666666666,52.4,9.2,0.17054794520547945,0.00684931506849315,2.3469768409552487,1.2024294149932204
10,BOBOQQ3#7928912,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Damian291207#7986887,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,200,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,SanDrasoSa,15,132,0.631578947368421,7,5,4,0,549,21,25,3.5,6,31,3153,18430,199.7428571428572,3702,209,0.7894736842105263,22.0,34.833333333333336,5.166666666666667,0.14829821717990274,0.00675310642895732,1.4145469493905698,1.1316375595124557
15,DrunkUnc92#7705654,207,3452,0.6977966444309682,10,40,9,110,16134,378,535,2.9302325581395348,129,811,104881,530615,266.01428571428573,121015,4947,0.9583333333333334,26.75968992248062,38.348837209302324,6.286821705426356,0.13332231541544437,0.004420939552947981,4.657320220846603,3.3911607883275705
16,whoshotghost#1916366,106,3284,0.9461250360126764,17,41,11,12,11772,255,501,1.9921875,128,532,49715,543830,278.6447058823529,61487,3471,0.905982905982906,25.65625,27.1171875,4.15625,0.1914551043309968,0.00814806381836811,4.395856478422901,4.590627308185543
18,LimpThaDon,190,3033,1.00999000999001,13,37,8,110,9846,421,489,2.520958083832336,167,583,42460,458078,152.73064133016624,52306,3003,0.9595959595959596,18.161676646706585,17.982035928143713,3.4910179640718564,0.18823844300845027,0.009348831873972393,4.91120618363224,5.169122621731609
20,TawheedAhmed42,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,teruteru_yt_#6461227,35,900,0.9394572025052192,12,19,5,6,3078,71,197,2.290322580645161,31,149,10257,149095,300.01690140845074,13335,958,0.875,29.032258064516128,30.903225806451612,4.806451612903226,0.23082114735658044,0.014773153355830522,3.004738803924503,3.2260840125643337
22,edgexgaming8901#9276950,51,603,0.6947004608294931,11,12,5,0,2483,92,102,2.628571428571429,35,94,9874,66675,197.3217391304348,12357,868,0.9107142857142857,17.228571428571428,24.8,2.6857142857142855,0.20093873917617544,0.008254430687059966,3.2379062702850017,2.4699019367259405
25,ferni775#9063204,0,1,0.3333333333333333,0,2,0,0,0,2,0,2.0,0,0,0,3975,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,CohesiveMango93#8505922,59,1041,0.7149725274725275,8,20,5,0,4335,99,169,2.9117647058823533,34,281,18216,158915,250.29090909090908,22551,1456,0.921875,30.61764705882353,42.8235294117647,8.264705882352942,0.1922309431954237,0.007494124429071882,3.250863608630524,2.521250897064165
28,Bobdustt#2422031,81,2041,1.1459854014598538,14,29,9,21,7265,169,324,2.0119047619047623,84,481,28320,301903,266.3857988165681,35585,1781,0.9,24.297619047619047,21.202380952380953,5.726190476190476,0.20415905578193058,0.009104959955037234,3.987735118958982,5.077651368017519
29,caliopez99#8569536,0,4,0.2105263157894736,0,1,0,0,0,8,0,8.0,0,0,0,2575,0.0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,EH4B_367#1401846,7,118,0.9833333333333332,6,4,6,0,314,21,19,1.5,14,9,1311,13255,237.11428571428573,1625,120,0.5384615384615384,8.428571428571429,8.571428571428571,0.6428571428571429,0.19323076923076923,0.011692307692307693,1.4210308697928313,2.595073040788337
31,sammy7227#7543148,7,16,0.64,4,3,0,0,17,10,3,10.0,0,1,120,9425,23.34,137,25,1.0,0.0,0.0,0.0,0.12408759124087591,0.021897810218978103,0.0,0.0
32,WilcyWilson#2599001,0,0,0.0,0,1,0,31,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,URjustBADXD#7190593,0,0,0.0,0,1,0,0,0,2,0,2.0,0,0,0,100,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,DaydayLadd96#1594916,21,363,0.7303822937625755,9,11,4,5,767,33,65,3.6666666666666665,9,49,6360,58550,327.9090909090909,7127,497,0.84,40.333333333333336,55.22222222222222,5.444444444444445,0.10761891398905571,0.00912024694822506,1.8456686449624244,1.6048139267063335
35,S3ND3RBUB12#9216137,80,1213,0.6472785485592316,9,27,7,22,4132,246,196,5.125,48,302,23006,264685,185.6634146341464,27138,1874,0.9195402298850575,25.270833333333332,39.041666666666664,6.291666666666667,0.1522588252634682,0.007222345051219692,3.559725067501509,2.50574537152149
36,Die#1566463,152,4753,1.0245742616943307,11,44,6,7,21934,320,661,2.302158273381295,139,948,95160,632675,330.991875,117094,4639,0.9620253164556962,34.194244604316545,33.37410071942446,6.820143884892087,0.18731958938972107,0.005645037320443405,4.747088847062438,5.055734986887298
38,McWiggins14#5533106,1,6,0.4285714285714285,1,1,0,0,29,1,1,1.0,0,1,96,625,226.2,125,14,1.0,0.0,0.0,0.0,0.232,0.008,0.0,0.0
40,Manuel Alarcon1#6037069,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,LEAN GAL#3205759,3,9,0.3461538461538461,2,1,0,0,35,4,4,4.0,0,8,225,1575,338.55,260,26,1.0,0.0,0.0,0.0,0.1346153846153846,0.015384615384615385,0.0,0.0
42,Ludsghy#4258818,57,2155,0.906986531986532,10,31,7,2,8138,131,489,2.1475409836065573,61,915,53259,325420,226.9053435114504,61397,2376,0.890625,35.32786885245902,38.950819672131146,15.0,0.13254719285958597,0.007964558528918352,3.6612470352793554,3.7285072295006256
44,swayfaze097#4838954,23,414,0.5447368421052632,8,12,5,0,904,41,37,2.5625,16,53,5295,73333,256.44878048780487,6199,760,0.8214285714285714,25.875,47.5,3.3125,0.14582997257622196,0.005968704629778996,2.2774835932683914,1.510331225009565
46,Sir_Luffwaffles1#7708807,127,3423,1.0670199501246882,11,63,7,110,8627,491,519,4.91,100,676,31069,1048199,98.70549898167006,39696,3208,0.9477611940298507,34.23,32.08,6.76,0.2173266827891979,0.013074365175332527,4.364601594182743,4.913808462168714
47,Grrrr pow#5106418,244,7783,0.9035291386115626,22,105,8,111,23349,837,1490,4.702247191011236,178,1655,90714,1616838,123.6236559139785,114063,8614,0.9682539682539683,43.7247191011236,48.39325842696629,9.297752808988765,0.20470266431708792,0.013062956436355348,5.017282485203447,4.6818924276669724
48,DeadShot1687#6299823,74,880,0.8888888888888888,8,35,5,110,1549,232,121,13.647058823529411,17,168,14118,414294,42.00775862068966,15667,990,0.9367088607594937,51.76470588235294,58.23529411764706,9.882352941176471,0.09887023680347226,0.007723239931065297,2.6538960437994934,2.5184118613833033
49,leandr1nho13#4383266,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Blom-Tiee#6925955,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
